time,type,y,newcol
02/03/22,L2_EASTERN_out,107,1
03/03/22,L2_EASTERN_out,198,1
04/03/22,L2_EASTERN_out,193,1
05/03/22,L2_EASTERN_out,177,1
06/03/22,L2_EASTERN_out,108,1
07/03/22,L2_EASTERN_out,164,1
08/03/22,L2_EASTERN_out,152,1
09/03/22,L2_EASTERN_out,137,1
10/03/22,L2_EASTERN_out,101,1
11/03/22,L2_EASTERN_out,129,1
12/03/22,L2_EASTERN_out,122,1
13/03/22,L2_EASTERN_out,112,1
14/03/22,L2_EASTERN_out,156,1
15/03/22,L2_EASTERN_out,147,1
16/03/22,L2_EASTERN_out,139,1
17/03/22,L2_EASTERN_out,92,1
18/03/22,L2_EASTERN_out,100,1
19/03/22,L2_EASTERN_out,87,1
20/03/22,L2_EASTERN_out,80,1
21/03/22,L2_EASTERN_out,104,1
22/03/22,L2_EASTERN_out,107,1
23/03/22,L2_EASTERN_out,101,1
24/03/22,L2_EASTERN_out,98,1
25/03/22,L2_EASTERN_out,84,1
26/03/22,L2_EASTERN_out,51,1
27/03/22,L2_EASTERN_out,43,1
28/03/22,L2_EASTERN_out,105,1
29/03/22,L2_EASTERN_out,95,1
30/03/22,L2_EASTERN_out,92,1
31/03/22,L2_EASTERN_out,71,1
01/04/22,L2_EASTERN_out,66,1
02/04/22,L2_EASTERN_out,37,1
03/04/22,L2_EASTERN_out,24,1
04/04/22,L2_EASTERN_out,61,1
05/04/22,L2_EASTERN_out,57,1
06/04/22,L2_EASTERN_out,98,1
07/04/22,L2_EASTERN_out,94,1
08/04/22,L2_EASTERN_out,62,1
09/04/22,L2_EASTERN_out,33,1
10/04/22,L2_EASTERN_out,26,1
11/04/22,L2_EASTERN_out,114,1
12/04/22,L2_EASTERN_out,92,1
13/04/22,L2_EASTERN_out,74,1
14/04/22,L2_EASTERN_out,57,1
15/04/22,L2_EASTERN_out,17,1
16/04/22,L2_EASTERN_out,29,1
17/04/22,L2_EASTERN_out,18,1
18/04/22,L2_EASTERN_out,49,1
19/04/22,L2_EASTERN_out,129,1
20/04/22,L2_EASTERN_out,105,1
21/04/22,L2_EASTERN_out,111,1
22/04/22,L2_EASTERN_out,70,1
23/04/22,L2_EASTERN_out,52,1
24/04/22,L2_EASTERN_out,35,1
25/04/22,L2_EASTERN_out,71,1
26/04/22,L2_EASTERN_out,101,1
27/04/22,L2_EASTERN_out,125,1
28/04/22,L2_EASTERN_out,74,1
29/04/22,L2_EASTERN_out,157,1
30/04/22,L2_EASTERN_out,104,1
01/05/22,L2_EASTERN_out,21,1
02/05/22,L2_EASTERN_out,98,1
03/05/22,L2_EASTERN_out,77,1
04/05/22,L2_EASTERN_out,122,1
05/05/22,L2_EASTERN_out,101,1
06/05/22,L2_EASTERN_out,87,1
07/05/22,L2_EASTERN_out,62,1
08/05/22,L2_EASTERN_out,26,1
09/05/22,L2_EASTERN_out,33,1
10/05/22,L2_EASTERN_out,105,1
11/05/22,L2_EASTERN_out,79,1
12/05/22,L2_EASTERN_out,83,1
13/05/22,L2_EASTERN_out,92,1
14/05/22,L2_EASTERN_out,77,1
15/05/22,L2_EASTERN_out,60,1
16/05/22,L2_EASTERN_out,129,1
17/05/22,L2_EASTERN_out,81,1
01/03/22,L2_ISLANDS_in,6,1
02/03/22,L2_ISLANDS_in,73,1
03/03/22,L2_ISLANDS_in,43,1
04/03/22,L2_ISLANDS_in,95,1
05/03/22,L2_ISLANDS_in,37,1
06/03/22,L2_ISLANDS_in,2,1
07/03/22,L2_ISLANDS_in,87,1
08/03/22,L2_ISLANDS_in,82,1
09/03/22,L2_ISLANDS_in,78,1
10/03/22,L2_ISLANDS_in,124,1
11/03/22,L2_ISLANDS_in,70,1
12/03/22,L2_ISLANDS_in,56,1
13/03/22,L2_ISLANDS_in,4,1
14/03/22,L2_ISLANDS_in,170,1
15/03/22,L2_ISLANDS_in,152,1
16/03/22,L2_ISLANDS_in,153,1
17/03/22,L2_ISLANDS_in,136,1
18/03/22,L2_ISLANDS_in,112,1
19/03/22,L2_ISLANDS_in,51,1
20/03/22,L2_ISLANDS_in,3,1
21/03/22,L2_ISLANDS_in,144,1
22/03/22,L2_ISLANDS_in,149,1
23/03/22,L2_ISLANDS_in,129,1
24/03/22,L2_ISLANDS_in,128,1
25/03/22,L2_ISLANDS_in,109,1
26/03/22,L2_ISLANDS_in,71,1
27/03/22,L2_ISLANDS_in,38,1
28/03/22,L2_ISLANDS_in,170,1
29/03/22,L2_ISLANDS_in,115,1
30/03/22,L2_ISLANDS_in,190,1
31/03/22,L2_ISLANDS_in,125,1
01/04/22,L2_ISLANDS_in,95,1
02/04/22,L2_ISLANDS_in,63,1
03/04/22,L2_ISLANDS_in,54,1
04/04/22,L2_ISLANDS_in,76,1
05/04/22,L2_ISLANDS_in,54,1
06/04/22,L2_ISLANDS_in,169,1
07/04/22,L2_ISLANDS_in,145,1
08/04/22,L2_ISLANDS_in,69,1
09/04/22,L2_ISLANDS_in,77,1
10/04/22,L2_ISLANDS_in,52,1
11/04/22,L2_ISLANDS_in,122,1
12/04/22,L2_ISLANDS_in,145,1
13/04/22,L2_ISLANDS_in,163,1
14/04/22,L2_ISLANDS_in,89,1
15/04/22,L2_ISLANDS_in,7,1
16/04/22,L2_ISLANDS_in,4,1
17/04/22,L2_ISLANDS_in,3,1
18/04/22,L2_ISLANDS_in,42,1
19/04/22,L2_ISLANDS_in,183,1
20/04/22,L2_ISLANDS_in,211,1
21/04/22,L2_ISLANDS_in,138,1
22/04/22,L2_ISLANDS_in,74,1
23/04/22,L2_ISLANDS_in,50,1
24/04/22,L2_ISLANDS_in,67,1
25/04/22,L2_ISLANDS_in,91,1
26/04/22,L2_ISLANDS_in,123,1
27/04/22,L2_ISLANDS_in,148,1
28/04/22,L2_ISLANDS_in,85,1
