,time,type,y
160,2022/05/24,L2_BUKIT_MERAH_out,78.0
161,2022/05/25,L2_BUKIT_MERAH_out,78.0
162,2022/05/26,L2_BUKIT_MERAH_out,81.0
163,2022/05/27,L2_BUKIT_MERAH_out,311.0
164,2022/05/28,L2_BUKIT_MERAH_out,107.0
165,2022/05/29,L2_BUKIT_MERAH_out,46.0
166,2022/05/30,L2_BUKIT_MERAH_out,479.0
167,2022/05/31,L2_BUKIT_MERAH_out,337.0
168,2022/05/18,L2_BUKIT_PANJANG_in,58.0
169,2022/05/19,L2_BUKIT_PANJANG_in,96.0
170,2022/05/20,L2_BUKIT_PANJANG_in,81.0
171,2022/05/21,L2_BUKIT_PANJANG_in,35.0
172,2022/05/22,L2_BUKIT_PANJANG_in,7.0
173,2022/05/23,L2_BUKIT_PANJANG_in,33.0
174,2022/05/24,L2_BUKIT_PANJANG_in,74.0
175,2022/05/25,L2_BUKIT_PANJANG_in,61.0
176,2022/05/26,L2_BUKIT_PANJANG_in,75.0
177,2022/05/27,L2_BUKIT_PANJANG_in,55.0
178,2022/05/28,L2_BUKIT_PANJANG_in,28.0
179,2022/05/29,L2_BUKIT_PANJANG_in,18.0
180,2022/05/30,L2_BUKIT_PANJANG_in,39.0
181,2022/05/31,L2_BUKIT_PANJANG_in,56.0
182,2022/05/18,L2_BUKIT_PANJANG_out,6.0
183,2022/05/19,L2_BUKIT_PANJANG_out,3.0
184,2022/05/20,L2_BUKIT_PANJANG_out,2.0
185,2022/05/21,L2_BUKIT_PANJANG_out,1.0
186,2022/05/22,L2_BUKIT_PANJANG_out,4.0
187,2022/05/23,L2_BUKIT_PANJANG_out,2.0
188,2022/05/24,L2_BUKIT_PANJANG_out,1.0
189,2022/05/25,L2_BUKIT_PANJANG_out,1.0
190,2022/05/26,L2_BUKIT_PANJANG_out,4.0
191,2022/05/27,L2_BUKIT_PANJANG_out,4.0
192,2022/05/28,L2_BUKIT_PANJANG_out,2.0
193,2022/05/29,L2_BUKIT_PANJANG_out,1.0
194,2022/05/30,L2_BUKIT_PANJANG_out,1.0
195,2022/05/31,L2_BUKIT_PANJANG_out,2.0
196,2022/05/18,L2_BUKIT_TIMAH_in,79.0
197,2022/05/19,L2_BUKIT_TIMAH_in,141.0
198,2022/05/20,L2_BUKIT_TIMAH_in,96.0
199,2022/05/21,L2_BUKIT_TIMAH_in,79.0
200,2022/05/22,L2_BUKIT_TIMAH_in,50.0
201,2022/05/23,L2_BUKIT_TIMAH_in,69.0
202,2022/05/24,L2_BUKIT_TIMAH_in,87.0
203,2022/05/25,L2_BUKIT_TIMAH_in,102.0
204,2022/05/26,L2_BUKIT_TIMAH_in,109.0
205,2022/05/27,L2_BUKIT_TIMAH_in,70.0
206,2022/05/28,L2_BUKIT_TIMAH_in,87.0
207,2022/05/29,L2_BUKIT_TIMAH_in,29.0
208,2022/05/30,L2_BUKIT_TIMAH_in,95.0
209,2022/05/31,L2_BUKIT_TIMAH_in,113.0
210,2022/05/18,L2_BUKIT_TIMAH_out,9.0
211,2022/05/19,L2_BUKIT_TIMAH_out,8.0
212,2022/05/20,L2_BUKIT_TIMAH_out,5.0
213,2022/05/21,L2_BUKIT_TIMAH_out,3.0
214,2022/05/22,L2_BUKIT_TIMAH_out,4.0
215,2022/05/23,L2_BUKIT_TIMAH_out,3.0
216,2022/05/24,L2_BUKIT_TIMAH_out,5.0
217,2022/05/25,L2_BUKIT_TIMAH_out,2.0
218,2022/05/26,L2_BUKIT_TIMAH_out,5.0
219,2022/05/27,L2_BUKIT_TIMAH_out,5.0
220,2022/05/28,L2_BUKIT_TIMAH_out,7.0
221,2022/05/29,L2_BUKIT_TIMAH_out,5.0
222,2022/05/30,L2_BUKIT_TIMAH_out,1.0
223,2022/05/31,L2_BUKIT_TIMAH_out,2.0
224,2022/05/18,L2_CENTRAL_WATER_CATCHMENT_in,0.0
