,time,type,y
153,2022/05/31,L2_KWUN_TONG_in,1235.0
154,2022/05/18,L2_KWUN_TONG_out,196.0
155,2022/05/19,L2_KWUN_TONG_out,250.0
156,2022/05/20,L2_KWUN_TONG_out,170.0
157,2022/05/21,L2_KWUN_TONG_out,123.0
158,2022/05/22,L2_KWUN_TONG_out,107.0
159,2022/05/23,L2_KWUN_TONG_out,153.0
160,2022/05/24,L2_KWUN_TONG_out,211.0
161,2022/05/25,L2_KWUN_TONG_out,268.0
162,2022/05/26,L2_KWUN_TONG_out,221.0
163,2022/05/27,L2_KWUN_TONG_out,155.0
164,2022/05/28,L2_KWUN_TONG_out,153.0
165,2022/05/29,L2_KWUN_TONG_out,97.0
166,2022/05/30,L2_KWUN_TONG_out,158.0
167,2022/05/31,L2_KWUN_TONG_out,50.0
168,2022/05/18,L2_NORTH_in,110.0
169,2022/05/19,L2_NORTH_in,470.0
170,2022/05/20,L2_NORTH_in,88.0
171,2022/05/21,L2_NORTH_in,68.0
172,2022/05/22,L2_NORTH_in,10.0
173,2022/05/23,L2_NORTH_in,83.0
174,2022/05/24,L2_NORTH_in,103.0
175,2022/05/25,L2_NORTH_in,140.0
176,2022/05/26,L2_NORTH_in,137.0
177,2022/05/27,L2_NORTH_in,91.0
178,2022/05/28,L2_NORTH_in,59.0
179,2022/05/29,L2_NORTH_in,9.0
180,2022/05/30,L2_NORTH_in,763.0
181,2022/05/31,L2_NORTH_in,493.0
182,2022/05/18,L2_NORTH_out,21.0
183,2022/05/19,L2_NORTH_out,12.0
184,2022/05/20,L2_NORTH_out,2.0
185,2022/05/21,L2_NORTH_out,12.0
186,2022/05/22,L2_NORTH_out,6.0
187,2022/05/23,L2_NORTH_out,7.0
188,2022/05/24,L2_NORTH_out,22.0
189,2022/05/25,L2_NORTH_out,13.0
190,2022/05/26,L2_NORTH_out,8.0
191,2022/05/27,L2_NORTH_out,3.0
192,2022/05/28,L2_NORTH_out,5.0
193,2022/05/29,L2_NORTH_out,4.0
194,2022/05/30,L2_NORTH_out,4.0
195,2022/05/31,L2_NORTH_out,2.0
196,2022/05/18,L2_SAI_KUNG_in,425.0
197,2022/05/19,L2_SAI_KUNG_in,1530.0
198,2022/05/20,L2_SAI_KUNG_in,244.0
199,2022/05/21,L2_SAI_KUNG_in,165.0
200,2022/05/22,L2_SAI_KUNG_in,144.0
201,2022/05/23,L2_SAI_KUNG_in,305.0
202,2022/05/24,L2_SAI_KUNG_in,348.0
203,2022/05/25,L2_SAI_KUNG_in,474.0
204,2022/05/26,L2_SAI_KUNG_in,442.0
205,2022/05/27,L2_SAI_KUNG_in,222.0
206,2022/05/28,L2_SAI_KUNG_in,215.0
207,2022/05/29,L2_SAI_KUNG_in,140.0
208,2022/05/30,L2_SAI_KUNG_in,1799.0
209,2022/05/31,L2_SAI_KUNG_in,1341.0
210,2022/05/18,L2_SAI_KUNG_out,14.0
211,2022/05/19,L2_SAI_KUNG_out,20.0
212,2022/05/20,L2_SAI_KUNG_out,14.0
213,2022/05/21,L2_SAI_KUNG_out,24.0
214,2022/05/22,L2_SAI_KUNG_out,18.0
215,2022/05/23,L2_SAI_KUNG_out,15.0
216,2022/05/24,L2_SAI_KUNG_out,22.0
217,2022/05/25,L2_SAI_KUNG_out,18.0
218,2022/05/26,L2_SAI_KUNG_out,13.0
219,2022/05/27,L2_SAI_KUNG_out,10.0
220,2022/05/28,L2_SAI_KUNG_out,16.0
221,2022/05/29,L2_SAI_KUNG_out,17.0
222,2022/05/30,L2_SAI_KUNG_out,16.0
223,2022/05/31,L2_SAI_KUNG_out,11.0
224,2022/05/18,L2_SHAM_SHUI_PO_in,520.0
225,2022/05/19,L2_SHAM_SHUI_PO_in,449.0
226,2022/05/20,L2_SHAM_SHUI_PO_in,474.0
227,2022/05/21,L2_SHAM_SHUI_PO_in,369.0
228,2022/05/22,L2_SHAM_SHUI_PO_in,395.0
229,2022/05/23,L2_SHAM_SHUI_PO_in,434.0
230,2022/05/24,L2_SHAM_SHUI_PO_in,564.0
231,2022/05/25,L2_SHAM_SHUI_PO_in,494.0
232,2022/05/26,L2_SHAM_SHUI_PO_in,427.0
233,2022/05/27,L2_SHAM_SHUI_PO_in,371.0
234,2022/05/28,L2_SHAM_SHUI_PO_in,337.0
235,2022/05/29,L2_SHAM_SHUI_PO_in,368.0
236,2022/05/30,L2_SHAM_SHUI_PO_in,365.0
237,2022/05/31,L2_SHAM_SHUI_PO_in,396.0
238,2022/05/18,L2_SHAM_SHUI_PO_out,431.0
239,2022/05/19,L2_SHAM_SHUI_PO_out,419.0
240,2022/05/20,L2_SHAM_SHUI_PO_out,310.0
241,2022/05/21,L2_SHAM_SHUI_PO_out,110.0
242,2022/05/22,L2_SHAM_SHUI_PO_out,113.0
243,2022/05/23,L2_SHAM_SHUI_PO_out,386.0
244,2022/05/24,L2_SHAM_SHUI_PO_out,492.0
245,2022/05/25,L2_SHAM_SHUI_PO_out,388.0
246,2022/05/26,L2_SHAM_SHUI_PO_out,275.0
247,2022/05/27,L2_SHAM_SHUI_PO_out,275.0
248,2022/05/28,L2_SHAM_SHUI_PO_out,116.0
249,2022/05/29,L2_SHAM_SHUI_PO_out,160.0
250,2022/05/30,L2_SHAM_SHUI_PO_out,324.0
251,2022/05/31,L2_SHAM_SHUI_PO_out,87.0
252,2022/05/18,L2_SHA_TIN_in,535.0
253,2022/05/19,L2_SHA_TIN_in,2269.0
254,2022/05/20,L2_SHA_TIN_in,319.0
255,2022/05/21,L2_SHA_TIN_in,268.0
256,2022/05/22,L2_SHA_TIN_in,88.0
257,2022/05/23,L2_SHA_TIN_in,341.0
258,2022/05/24,L2_SHA_TIN_in,454.0
259,2022/05/25,L2_SHA_TIN_in,502.0
260,2022/05/26,L2_SHA_TIN_in,495.0
261,2022/05/27,L2_SHA_TIN_in,334.0
262,2022/05/28,L2_SHA_TIN_in,294.0
263,2022/05/29,L2_SHA_TIN_in,98.0
264,2022/05/30,L2_SHA_TIN_in,2535.0
265,2022/05/31,L2_SHA_TIN_in,1835.0
266,2022/05/18,L2_SHA_TIN_out,96.0
267,2022/05/19,L2_SHA_TIN_out,107.0
268,2022/05/20,L2_SHA_TIN_out,106.0
269,2022/05/21,L2_SHA_TIN_out,95.0
270,2022/05/22,L2_SHA_TIN_out,64.0
271,2022/05/23,L2_SHA_TIN_out,196.0
272,2022/05/24,L2_SHA_TIN_out,130.0
273,2022/05/25,L2_SHA_TIN_out,96.0
274,2022/05/26,L2_SHA_TIN_out,123.0
275,2022/05/27,L2_SHA_TIN_out,105.0
276,2022/05/28,L2_SHA_TIN_out,93.0
277,2022/05/29,L2_SHA_TIN_out,95.0
278,2022/05/30,L2_SHA_TIN_out,158.0
279,2022/05/31,L2_SHA_TIN_out,47.0
280,2022/05/18,L2_SOUTHERN_in,287.0
281,2022/05/19,L2_SOUTHERN_in,287.0
282,2022/05/20,L2_SOUTHERN_in,600.0
283,2022/05/21,L2_SOUTHERN_in,110.0
284,2022/05/22,L2_SOUTHERN_in,507.0
285,2022/05/23,L2_SOUTHERN_in,234.0
286,2022/05/24,L2_SOUTHERN_in,712.0
287,2022/05/25,L2_SOUTHERN_in,421.0
288,2022/05/26,L2_SOUTHERN_in,298.0
289,2022/05/27,L2_SOUTHERN_in,129.0
290,2022/05/28,L2_SOUTHERN_in,98.0
291,2022/05/29,L2_SOUTHERN_in,1061.0
292,2022/05/30,L2_SOUTHERN_in,252.0
293,2022/05/31,L2_SOUTHERN_in,672.0
